recnum,b_raven,b_spol,b_nacionalnost,b_komunikacijske,b_utezi_dejavnikov,b_drugo,b_brez_pripombe,b_neuporaben,a_raven,a_spol,a_nacionalnost,a_komunikacijske,a_utezi_dejavnikov,a_drugo,a_brez_pripombe,a_neuporaben
173,3,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
174,2,1,1,0,1,0,0,0,1.0,0,0,0,1,1,0,0
175,3,1,1,0,1,0,0,0,3.0,0,1,0,0,0,0,0
176,2,0,1,0,0,0,0,0,3.0,0,0,0,1,1,0,0
177,3,1,1,0,0,0,0,0,2.0,0,0,1,1,1,0,0
178,2,1,1,0,0,0,0,0,1.0,0,0,0,1,1,0,0
179,3,1,1,0,0,0,0,0,1.0,0,0,0,1,1,0,0
180,2,1,1,0,0,0,0,0,2.0,0,0,0,1,1,0,0
182,2,1,1,0,1,0,0,0,2.0,0,0,0,1,1,0,0
185,3,1,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0
186,3,1,1,1,1,0,0,0,3.0,0,0,1,1,1,0,0
191,2,1,1,0,1,0,0,0,2.0,0,0,0,1,1,0,0
192,2,1,1,0,0,0,0,0,0.0,0,0,0,1,1,0,0
193,2,1,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0
194,2,1,0,0,0,0,0,0,2.0,1,0,0,0,0,0,0
196,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,1
197,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,1
198,0,0,0,0,0,0,1,0,1.0,0,0,0,0,1,0,0
200,2,1,0,0,0,0,0,0,1.0,0,0,1,0,1,0,0
201,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,1
203,2,1,1,0,0,0,0,0,3.0,0,0,1,0,1,0,0
204,3,1,1,1,1,0,0,0,1.0,0,0,0,1,1,0,0
205,2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,1,1
207,3,1,1,0,1,1,0,0,0.0,0,0,0,1,1,0,0
209,3,1,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0
210,2,1,0,0,0,0,0,0,3.0,0,0,0,1,0,0,0
212,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
